day,income,cash
1,78446,50
2,114901,77
3,133679,92
4,138665,102
5,105432,86
6,126201,87
7,236575,103
8,315713,114
9,281139,141
10,198573,151
11,187253,141
12,339317,221
13,167753,109
14,145970,100
15,278757,183
16,238130,162
17,236959,161
18,244414,169
19,257718,182
20,202629,147
21,162310,115
22,204372,135
23,192354,129
24,217645,157
25,200941,130
26,223793,155
27,186133,118
28,134650,106
29,223746,152
30,280486,185
31,271466,184
32,253052,175
33,220068,154
34,183107,128
35,153506,111
36,235633,164
37,198202,139
38,155948,116
39,172984,129
40,228337,158
41,223044,144
42,188720,133
43,291163,196
44,221031,161
45,266146,170
46,271242,176
47,244317,163
48,219253,156
49,176005,118
50,237104,167
51,191863,144
52,216340,147
53,262697,167
54,159275,115
55,187237,123
56,173583,110
57,159808,116
58,189377,133
59,201294,133
60,215593,139
61,183262,122
62,197470,134
63,154042,102
64,205357,142
65,230617,164
66,258154,169
67,296108,193
68,184010,124
69,174932,125
70,196662,133
71,212849,145
72,203263,147
73,220952,150
74,223127,153
75,301062,190
76,247912,127
77,152608,95
78,203722,135
79,194359,135
80,198044,131
81,242315,162
82,241268,155
83,188583,111
84,205219,125
85,282892,140
86,197164,143
87,268242,133
88,228945,138
89,246026,138
90,175926,113
91,129815,99
92,163434,110
93,164860,111
94,191386,130
95,184357,113
96,197731,142
97,189678,119
98,121907,87
99,203987,127
100,229996,149
101,214893,148
102,173112,107
103,213028,134
104,173982,107
105,140387,90
106,238309,156
107,163108,108
108,168148,106
109,161240,105
110,183904,124
111,179231,116
112,173256,109
113,160318,107
114,192612,131
115,190278,131
116,192537,128
117,189883,132
118,214863,136
119,137663,100
120,130967,92
121,144676,104
122,141177,88
123,149976,109
124,185994,135
125,152885,92
126,86336,64
127,134679,99
128,172341,126
129,192783,123
130,119828,82
131,127468,86
132,132536,92
133,128892,94
134,133288,101
135,232605,147
136,159660,119
137,193215,118
138,194180,133
139,201095,129
140,126262,89
141,156761,113
142,215112,98
143,182617,127
144,173315,117
145,222255,146
146,151244,108
147,130694,86
148,185093,104
149,210945,102
150,187515,134
151,173317,122
152,270549,137
153,170165,125
154,130652,100
155,233206,110
156,248752,117
157,142576,94
158,162262,120
159,196279,137
160,259737,125
161,122698,91
162,237998,131
163,183141,127
164,215765,99
165,190662,143
166,189577,120
167,184208,118
168,142381,108
169,203607,122
170,177523,120
171,251864,131
172,188667,134
173,242957,160
174,255406,134
175,127449,99
176,174250,105
177,257207,141
178,158349,114
179,185337,121
180,316769,144
181,157627,109
182,118620,94
183,254548,115
184,119511,89
185,149232,111
186,130334,93
187,182481,121
188,177206,137
189,129772,94
190,143452,109
191,163477,113
192,203316,113
193,115343,98
194,259749,170
195,172678,131
196,84193,72
197,157416,112
198,133654,100
199,133784,93
200,143936,112
201,179367,135
202,186342,125
203,125996,96
204,136543,101
205,119745,85
206,156029,112
207,120520,86
208,153987,106
209,149782,108
210,111262,75
211,126529,85
212,125947,83
213,115569,85
214,132784,99
215,176475,126
216,146664,103
217,124374,93
218,128671,93
219,152524,101
220,128510,97
221,123438,89
222,225114,137
223,201393,131
224,126398,85
225,137863,93
226,143156,110
227,153740,113
228,144389,98
229,164200,106
230,120285,86
231,122167,87
232,116517,90
233,166246,115
234,185679,111
235,180396,117
236,149185,104
237,151206,96
238,123585,79
239,162825,113
240,184480,113
241,192168,114
242,147690,103
243,239133,138
244,183528,120
245,166477,114
246,133590,100
247,149444,100
248,217495,131
249,195650,126
250,207392,143
251,239215,169
252,132909,93
253,173431,117
254,184582,131
255,210176,144
256,237587,133
257,275510,166
258,272462,173
259,220337,149
260,224268,144
261,268430,133
262,211465,142
263,220405,134
264,288093,172
265,263457,157
266,172947,112
267,217298,146
268,230755,151
269,270492,164
270,222221,139
271,347600,190
272,225164,134
273,187514,106
274,241598,143
275,180767,120
276,211259,140
277,227699,140
278,208776,142
279,203579,136
280,230641,142
281,240582,157
282,173446,124
283,274318,169
284,213050,137
285,192444,125
286,236242,149
287,152649,105
288,242014,157
289,232341,140
290,217869,138
291,210358,131
292,192765,127
293,200296,134
294,118440,73
295,204122,117
296,260709,157
297,280577,145
298,218181,142
299,181324,116
300,201804,124
301,135846,89
302,181596,109
303,158808,108
304,177596,109
305,221626,126
306,196502,122
307,191146,127
308,156879,99
309,116873,79
310,178878,117
311,230657,147
312,215167,137
313,243271,152
314,141515,92
315,185603,111
316,309904,189
317,298862,188
318,296871,174
319,257444,160
320,221950,143
321,222529,138
322,132562,93
323,180189,110
324,203037,134
325,292714,134
326,257864,164
327,306423,183
328,140518,91
329,130129,88
330,212643,92
331,149739,94
332,168863,105
333,169236,113
334,223120,141
335,120230,84
336,102521,72
337,167153,106
338,207900,128
339,157296,105
340,171508,96
341,193714,136
342,145478,91
343,141064,105
344,160613,110
345,153618,97
346,143554,98
347,140748,101
348,196270,136
349,152258,93
350,105232,77
351,181201,108
352,191312,129
353,193468,123
354,162876,111
355,212109,133
356,179228,107
357,102839,68
358,145310,102
359,155056,101
360,153150,103
361,157276,111
362,190318,118
363,170643,112
364,113266,69
365,124161,81
366,82303,56
